mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.309237003326416,0.035786051695231795,0.1358021100362142,0.04646621118893393,100,8,4,log2,12,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 12}",0.989782318969347,1.0,0.9902309058614565,0.9933377416102678,0.004714486376309427,1
0.31845545768737793,0.044611487055236806,0.129256010055542,0.039769327070977745,100,2,1,log2,12,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 12}",0.989782318969347,1.0,0.9902309058614565,0.9933377416102678,0.004714486376309427,1
1.4848318894704182,0.5530354644209168,0.7276235421498617,0.4419958462529081,300,2,1,0.5,12,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 12}",0.989782318969347,1.0,0.9888839484215207,0.9928887557969559,0.005041766423043722,11
1.4858908653259277,0.31041929874536883,0.3276387055714925,0.17434583773344348,100,2,2,sqrt,8,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 8}",0.989782318969347,1.0,0.989782318969347,0.9931882126462312,0.004816661029850599,9
0.8351812362670898,0.3888041042142643,1.071026881535848,0.34475669107939777,100,2,4,sqrt,16,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 16}",0.989782318969347,1.0,0.9879839786381842,0.992588765869177,0.0052917105295658875,15
1.6621067523956299,0.008827938558381682,0.23661057154337564,0.038997049605159775,100,2,4,log2,12,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 12}",0.989782318969347,1.0,0.9902309058614565,0.9933377416102678,0.004714486376309427,1
0.6291523774464926,0.24635237208356633,0.7661604086558024,0.14802750528664144,100,4,1,0.5,16,"{'n_estimators': 100, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 16}",0.989782318969347,1.0,0.9879839786381842,0.992588765869177,0.0052917105295658875,15
0.8238704999287924,0.36294296518173025,0.528032143910726,0.1058033454446772,200,8,1,log2,16,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 16}",0.989782318969347,1.0,0.9902309058614565,0.9933377416102678,0.004714486376309427,1
1.6361007690429688,0.1155128947392336,0.359247366587321,0.07724369548475367,300,4,4,sqrt,,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}",0.989782318969347,1.0,0.9884341637010676,0.9927388275568049,0.0051638389849806895,12
1.1261827945709229,0.14131444391460948,0.5337646007537842,0.48663985294585255,100,2,2,0.5,12,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 12}",0.989782318969347,1.0,0.9884341637010676,0.9927388275568049,0.0051638389849806895,12
1.7673218250274658,0.14413261466592409,0.3850725491841634,0.16373362611690384,300,8,2,sqrt,16,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 16}",0.989782318969347,1.0,0.9884341637010676,0.9927388275568049,0.0051638389849806895,12
1.3617903391520183,0.0544322266970992,0.29262010256449383,0.07185236711018714,300,2,1,sqrt,16,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 16}",0.989782318969347,1.0,0.9902309058614565,0.9933377416102678,0.004714486376309427,1
1.5339717070261638,0.760724688149711,0.8738789558410645,0.2226251868086528,200,2,2,0.5,16,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 16}",0.989782318969347,1.0,0.98753339269813,0.9924385705558256,0.005424993319366849,20
1.3356930414835613,0.050652138848881194,0.6175833543141683,0.29361624808921893,200,8,2,log2,12,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 12}",0.989782318969347,1.0,0.989782318969347,0.9931882126462312,0.004816661029850599,9
0.6839050451914469,0.0412497288985044,1.4683980147043865,0.02967327369142279,100,8,4,sqrt,16,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 16}",0.989782318969347,1.0,0.9879839786381842,0.992588765869177,0.0052917105295658875,15
1.9195977846781414,0.4668751849609723,0.7444164752960205,0.14894507212876298,300,4,1,0.5,,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",0.989782318969347,1.0,0.9879839786381842,0.992588765869177,0.0052917105295658875,15
2.0000245571136475,0.5434819926225729,0.43704970677693683,0.35368992342196864,300,8,4,log2,,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None}",0.989782318969347,1.0,0.9902309058614565,0.9933377416102678,0.004714486376309427,1
1.4876588980356853,0.4657843666299834,0.2367420196533203,0.1417771253960622,300,8,1,log2,12,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 12}",0.989782318969347,1.0,0.9902309058614565,0.9933377416102678,0.004714486376309427,1
